UserID,PrototypeUnitID,InstanceID,Name,Level,EXP,MaxHealthPoint,HealthPoint,Strength,Defense,Handicraft,DeathErosion,Enforce,HealthEnforce,StrengthEnforce,DefenseEnforce,HandicraftEnforce,Crime,ActivityStatus,HeadID,BodyID
0,0,0,�̿���,1,0,100,100,10,1,1,0,1,2,0,0,0,1,0,0,0
0,1,0,�念��,1,0,100,100,10,1,1,0,1,2,1,1,0,2,0,1,1
0,100,32,장백흑,1,0,48,48,43,49,24,0,0,0,0,0,0,0,0,0,0
0,100,33,장힑개,1,0,22,22,6,61,65,0,0,0,0,0,0,6,0,1,2
0,100,34,임됛맥,1,0,11,11,58,91,90,0,0,0,0,0,0,1,0,3,0
0,100,35,정끾겦,1,0,51,51,71,56,79,0,0,0,0,0,0,4,0,3,2
0,100,36,정훜맱,1,0,35,35,41,82,17,0,0,0,0,0,0,2,0,0,1
0,100,37,최튽귃,1,0,19,19,15,5,61,0,0,0,0,0,0,6,0,5,2
0,100,38,이혼퐌,1,0,15,15,39,70,97,0,0,0,0,0,0,2,0,3,2
0,100,39,김쁘겾,1,0,85,85,71,43,81,0,0,0,0,0,0,4,0,4,2
0,100,40,이궤붪,1,0,2,2,1,18,68,0,0,0,0,0,0,1,0,1,0
0,100,41,김해맥,1,0,33,33,8,95,13,0,0,0,0,0,0,5,0,5,1
0,100,42,임꺲맴,1,0,57,57,16,33,89,0,0,0,0,0,0,0,0,3,1
